IR, RED,X,Y,Z, heart_rate, respiration_rate, SPO2,Activity
118245,103456,0.028023,-0.038031,1.03384,75,17.64705882,80.1461747,5.00E+00
118896,103657,0.032026,-0.038031,1.03384,75,17.64705882,80.1461747,3.00E+00
119248,103783,0.035028,-0.03703,1.03384,75,17.64705882,80.1461747,4.00E+00
119433,103900,0.034028,-0.03703,1.034841,75,17.64705882,80.1461747,3.00E+00
118784,103821,0.030024,-0.03703,1.030838,75,17.64705882,80.1461747,5.00E+00
118350,103528,0.029024,-0.041033,1.035842,75,17.64705882,80.1461747,5.00E+00
118615,103478,0.026021,-0.038031,1.032839,75,17.64705882,80.09124938,5.00E+00
119586,103736,0.027022,-0.038031,1.032839,75,17.64705882,80.09124938,5.00E+00
120406,104129,0.029024,-0.036029,1.038844,75,17.64705882,80.09124938,5.00E+00
120719,104358,0.030024,-0.035028,1.034841,75,17.64705882,80.09124938,5.00E+00
120669,104378,0.032026,-0.033027,1.032839,75,17.64705882,80.09124938,5.00E+00
120642,104350,0.034028,-0.033027,1.031838,75,17.64705882,80.09124938,5.00E+00
120755,104369,0.031025,-0.038031,1.026834,75,17.64705882,80.09124938,5.00E+00
121022,104436,0.028023,-0.039032,1.035842,75,17.64705882,80.09124938,5.00E+00
121317,104511,0.034028,-0.038031,1.042847,75,17.64705882,80.09124938,3.00E+00
121617,104605,0.033027,-0.03703,1.041847,75,17.64705882,80.09124938,5.00E+00
121852,104684,0.028023,-0.03703,1.037843,75,17.64705882,80.09124938,5.00E+00
122034,104723,0.028023,-0.036029,1.036842,75,17.64705882,80.09124938,5.00E+00
122172,104777,0.031025,-0.035028,1.035842,75,17.64705882,80.09124938,4.00E+00
122267,104820,0.032026,-0.032026,1.037843,75,17.64705882,80.09124938,5.00E+00
122420,104856,0.031025,-0.038031,1.032839,75,17.64705882,80.09124938,5.00E+00
122523,104877,0.031025,-0.032026,1.031838,75,17.64705882,80.2603662,5.00E+00
120792,104800,0.030024,-0.03703,1.026834,75,17.64705882,80.2603662,5.00E+00
117500,103466,0.032026,-0.036029,1.030838,75,17.64705882,80.2603662,4.00E+00
116867,102803,0.034028,-0.036029,1.034841,75,17.64705882,80.2603662,4.00E+00
117182,102809,0.035028,-0.038031,1.035842,75,17.64705882,80.2603662,3.00E+00
117598,102992,0.034028,-0.041033,1.031838,75,17.64705882,80.2603662,4.00E+00
117940,103133,0.031025,-0.034028,1.032839,75,17.64705882,80.2603662,5.00E+00
118163,103236,0.033027,-0.03703,1.034841,75,17.64705882,80.2603662,3.00E+00
118130,103279,0.030024,-0.035028,1.039845,75,17.64705882,80.2603662,5.00E+00
118025,103225,0.032026,-0.038031,1.040846,75,17.64705882,80.2603662,5.00E+00
118172,103235,0.03703,-0.035028,1.038844,75,16.66666667,80.2603662,5.00E+00
118432,103302,0.035028,-0.03703,1.036842,75,16.66666667,80.2603662,4.00E+00
119039,103522,0.028023,-0.033027,1.035842,75,16.66666667,80.2603662,5.00E+00
119070,103625,0.030024,-0.032026,1.036842,75,16.66666667,80.2603662,5.00E+00
118402,103478,0.032026,-0.031025,1.029837,75,16.66666667,80.2603662,5.00E+00
117987,103201,0.031025,-0.033027,1.03384,75,16.66666667,80.2603662,5.00E+00
118436,103216,0.028023,-0.036029,1.035842,75,16.66666667,80.14290592,5.00E+00
119383,103519,0.029024,-0.036029,1.034841,75,16.66666667,80.14290592,5.00E+00
120079,103863,0.031025,-0.034028,1.035842,75,16.66666667,80.14290592,5.00E+00
120216,104038,0.027022,-0.03703,1.039845,75,16.66666667,80.14290592,5.00E+00
120078,104008,0.030024,-0.038031,1.037843,75,16.66666667,80.14290592,5.00E+00
120080,103966,0.030024,-0.038031,1.036842,75,16.66666667,80.14290592,5.00E+00
120280,104021,0.033027,-0.035028,1.038844,75,16.66666667,80.14290592,4.00E+00
121037,104275,0.029024,-0.036029,1.032839,75,16.66666667,80.14290592,5.00E+00
121297,104426,0.036029,-0.036029,1.029837,75,16.66666667,80.14290592,5.00E+00
121522,104540,0.029024,-0.035028,1.036842,75,16.66666667,80.14290592,5.00E+00
121723,104596,0.028023,-0.034028,1.036842,75,16.66666667,80.14290592,5.00E+00
121516,104624,0.035028,-0.038031,1.034841,75,16.66666667,80.14290592,3.00E+00
117945,103874,0.038031,-0.040033,1.036842,75,16.66666667,80.14290592,5.00E+00
116245,102412,0.02402,-0.034028,1.030838,75,16.66666667,80.14290592,5.00E+00
116519,102489,0.028023,-0.035028,1.025833,75,16.66666667,80.14290592,5.00E+00
116704,102591,0.038031,-0.038031,1.041847,75,16.66666667,80.14290592,5.00E+00
116929,102657,0.038031,-0.038031,1.042847,75,16.66666667,80.14290592,5.00E+00
116993,102727,0.028023,-0.035028,1.03384,75,16.66666667,79.8070833,5.00E+00
116831,102661,0.02502,-0.034028,1.038844,75,16.66666667,79.8070833,5.00E+00
116921,102635,0.030024,-0.035028,1.037843,75,16.66666667,79.8070833,5.00E+00
117071,102676,0.03703,-0.036029,1.035842,75,16.66666667,79.8070833,5.00E+00
117399,102770,0.033027,-0.036029,1.031838,75,16.66666667,79.8070833,4.00E+00
117668,102894,0.031025,-0.040033,1.037843,75,16.66666667,79.8070833,5.00E+00
117737,103002,0.029024,-0.035028,1.034841,75,16.66666667,79.8070833,5.00E+00
117521,102971,0.035028,-0.039032,1.032839,75,16.66666667,79.8070833,3.00E+00
118466,103257,0.028023,-0.035028,1.037843,75,16.66666667,79.8070833,5.00E+00
118932,103484,0.029024,-0.036029,1.031838,75,16.66666667,79.8070833,5.00E+00
119123,103605,0.031025,-0.036029,1.036842,75,16.66666667,79.8070833,4.00E+00
119072,103622,0.027022,-0.032026,1.035842,75,16.66666667,79.8070833,5.00E+00
119072,103598,0.02402,-0.035028,1.029837,75,16.66666667,79.8070833,5.00E+00
119149,103603,0.034028,-0.038031,1.036842,75,16.66666667,79.8070833,3.00E+00
119305,103628,0.031025,-0.038031,1.038844,75,16.66666667,79.8070833,5.00E+00
119452,103660,0.028023,-0.038031,1.032839,70.58823529,16.66666667,79.8070833,5.00E+00
119548,103698,0.027022,-0.039032,1.031838,70.58823529,16.66666667,80.24624767,5.00E+00
